LAT_DEG,LONG_DEG,As
21.814,90.124,17.4
21.98,90.232,1
21.996,90.211,7.6
22.008,90.285,8.6
22.051,90.117,1.9
22.066,90.207,0.6
22.094,90.207,1.9
22.156,90.297,0.5
22.183,90.278,0.7
22.243,90.318,0.5
22.215,90.304,0.5
22.133,90.231,0.5
22.417,90.166,0.5
22.374,90.131,0.5
22.338,90.142,0.5
22.322,90.112,0.5
22.289,89.962,0.5
22.223,89.972,2.9
22.217,89.921,0.5
22.257,89.946,159
22.296,89.979,2.7
22.346,89.939,7.3
22.367,89.967,1
22.743,90.099,21.1
22.76,90.094,4.2
22.806,90.193,0.7
22.742,90.134,1.2
22.73,90.105,14.6
22.727,90.089,11.8
22.73,90.089,1.1
22.669,90.082,0.5
22.684,90.071,0.5
22.37,90.07,0.5
22.369,90.081,0.5
22.496,90.137,0.5
23.34,90.173,86.7
23.287,90.17,289
23.329,90.209,74.6
23.378,90.16,113
23.411,90.176,66.8
23.387,90.111,82.4
23.365,90.11,62.4
23.073,90.433,2.7
23.084,90.407,576
23.08,90.406,2.9
23.076,90.384,287
23.038,90.438,290
23.087,90.462,31.2
23.099,90.483,214
22.246,90.411,5.8
22.24,90.399,1
22.248,90.4,0.5
22.142,90.066,1.4
22.147,90.111,0.7
22.091,90.084,0.6
22.042,90.042,0.5
22.156,90.13,0.5
22.296,90.06,0.5
22.288,90.045,2.7
22.26,90.029,0.5
22.25,90.076,0.5
22.264,90.079,0.5
22.486,90.063,3.4
22.471,90.055,1.3
22.471,90.036,0.5
22.489,90.022,2.5
22.533,89.992,53.2
22.55,89.983,14.5
22.582,89.999,246
22.58,89.966,12.1
22.683,89.963,42
22.618,89.96,0.7
22.606,89.993,8
22.653,90,0.5
22.622,89.99,1.7
22.518,90.11,0.5
22.556,90.137,3.1
22.559,90.188,0.5
22.555,90.086,20.1
22.579,90.095,0.5
22.578,90.114,0.5
22.68,90.285,7.9
22.707,89.977,0.7
22.815,89.947,225
